X,Y,FID,foottraffic
-9667890.72114293,3740146.15092292,1558,55
-9667890.72114293,3740146.15092292,1559,55
-9667890.72114293,3740146.15092292,1560,55
-9667890.72114293,3740146.15092292,1561,55
-9643410.45192259,3739699.40220983,1562,157
-9643410.45192259,3739699.40220983,1563,157
-9643410.45192259,3739699.40220983,1564,157
-9675195.50612879,3784818.02970164,1565,47
-9675195.50612879,3784818.02970164,1566,47
-9644355.55439942,3741673.86798939,1567,80
-9644355.55439942,3741673.86798939,1568,80
-9641895.39365289,3741833.72604036,1569,100
-9642547.72586894,3739323.41241346,1570,157
-9708984.31116927,3702732.66796685,1571,67
-9708984.31116927,3702732.66796685,1572,67
-9643370.3769059,3736356.51604518,1573,158
-9615105.24499858,3735693.81207701,1574,81
-9615105.24499858,3735693.81207701,1575,81
-9615105.24499858,3735693.81207701,1576,81
-9634829.94557224,3744018.22775623,1577,135
-9629700.34343649,3716986.72271897,1578,100
-9629700.34343649,3716986.72271897,1579,100
-9629700.34343649,3716986.72271897,1580,100
-9629700.34343649,3716986.72271897,1581,100
-9645509.93751895,3741562.49272763,1582,97
-9645509.93751895,3741562.49272763,1583,97
-9646468.39833468,3738259.69969635,1584,96
-9650857.72585666,3718264.35206445,1585,66
-9627465.04806136,3733942.92887326,1586,100
-9627465.04806136,3733942.92887326,1587,100
-9627465.04806136,3733942.92887326,1588,100
-9627465.04806136,3733942.92887326,1589,100
-9644246.46129844,3741642.42075273,1590,80
-9657468.99041487,3733783.17502013,1591,66
-9657468.99041487,3733783.17502013,1592,66
-9603758.44930202,3726121.391434,1593,82
-9603758.44930202,3726121.391434,1594,82
-9603758.44930202,3726121.391434,1595,82
-9644348.87522997,3734678.87137651,1596,160
-9644348.87522997,3734678.87137651,1597,160
-9644348.87522997,3734678.87137651,1598,160
-9616648.13314097,3709191.77636317,1599,80
-9616648.13314097,3709191.77636317,1600,80
-9644090.61401133,3742585.87343326,1601,80
-9652298.20006752,3740490.72205167,1602,98
-9652298.20006752,3740490.72205167,1603,98
-9652298.20006752,3740490.72205167,1604,98
-9652298.20006752,3740490.72205167,1605,98
-9652298.20006752,3740490.72205167,1606,98
-9696584.43308981,3656901.09009789,1607,106
-9696584.43308981,3656901.09009789,1608,106
-9696584.43308981,3656901.09009789,1609,106
-9642337.33203134,3739563.15368618,1610,200
-9618890.10768555,3749481.86611589,1611,93
-9618890.10768555,3749481.86611589,1612,93
-9630291.4499326,3742977.69000239,1613,100
-9667422.06608669,3769208.52058285,1614,71
-9667422.06608669,3769208.52058285,1615,71
-9652725.66691217,3746593.74742912,1616,96
-9652725.66691217,3746593.74742912,1617,96
-9652725.66691217,3746593.74742912,1618,96
-9652725.66691217,3746593.74742912,1619,96
-9634217.68837288,3731897.71494237,1620,101
-9634217.68837288,3731897.71494237,1621,101
-9634217.68837288,3731897.71494237,1622,101
-9634217.68837288,3731897.71494237,1623,101
-9634217.68837288,3731897.71494237,1624,101
-9623231.56782649,3735158.17470616,1625,100
-9623231.56782649,3735158.17470616,1626,100
-9643302.47201652,3739826.48154291,1627,158
-9642350.69037023,3741514.01205178,1628,54
-9642350.69037023,3741514.01205178,1629,54
-9642350.69037023,3741514.01205178,1630,54
-9642350.69037023,3741514.01205178,1631,54
-9642350.69037023,3741514.01205178,1632,54
-9642350.69037023,3741514.01205178,1633,54
-9642350.69037023,3741514.01205178,1634,54
-9642350.69037023,3741514.01205178,1635,54
-9642350.69037023,3741514.01205178,1636,54
-9642350.69037023,3741514.01205178,1637,54
-9625311.01591451,3673400.0655237,1638,114
-9625311.01591451,3673400.0655237,1639,114
-9625311.01591451,3673400.0655237,1640,114
-9625311.01591451,3673400.0655237,1641,114
-9625311.01591451,3673400.0655237,1642,114
-9625311.01591451,3673400.0655237,1643,114
-9625311.01591451,3673400.0655237,1644,114
-9625311.01591451,3673400.0655237,1645,114
-9625311.01591451,3673400.0655237,1646,114
-9625311.01591451,3673400.0655237,1647,114
-9659356.96897872,3750355.12380905,1648,99
-9636990.65688854,3760827.33928829,1649,218
-9636990.65688854,3760827.33928829,1650,218
-9637860.06211163,3733975.66557871,1651,101
-9637860.06211163,3733975.66557871,1652,101
-9637860.06211163,3733975.66557871,1653,101
-9637860.06211163,3733975.66557871,1654,101
-9636997.33605799,3743161.15363087,1655,130
-9636997.33605799,3743161.15363087,1656,130
-9644327.72452672,3742433.86774846,1657,85
-9602365.8424722,3726025.86241749,1658,82
-9643751.08956441,3741202.16802626,1659,83
-9643751.08956441,3741202.16802626,1660,83
-9643751.08956441,3741202.16802626,1661,83
-9627620.89534847,3733695.442243,1662,87
-9627620.89534847,3733695.442243,1663,87
-9627620.89534847,3733695.442243,1664,87
-9627620.89534847,3733695.442243,1665,87
-9627940.38228704,3750123.03564534,1666,101
-9627940.38228704,3750123.03564534,1667,101
-9627940.38228704,3750123.03564534,1668,101
-9627940.38228704,3750123.03564534,1669,101
-9627940.38228704,3750123.03564534,1670,101
-9627940.38228704,3750123.03564534,1671,101
-9627940.38228704,3750123.03564534,1672,101
-9627940.38228704,3750123.03564534,1673,101
-9634020.65287417,3728621.11665105,1674,100
-9644274.29117114,3743305.3055781,1675,133
-9616226.23227087,3673733.63289187,1676,52
-9616226.23227087,3673733.63289187,1677,52
-9643689.86384448,3750819.31352596,1678,128
-9643968.16257146,3743305.3055781,1679,130
-9674379.53426128,3745689.30392902,1680,54
-9674379.53426128,3745689.30392902,1681,54
-9674379.53426128,3745689.30392902,1682,54
-9644219.74462065,3741658.14436084,1683,81
-9644219.74462065,3741658.14436084,1684,81
-9644219.74462065,3741658.14436084,1685,81
-9644219.74462065,3741658.14436084,1686,81
-9644219.74462065,3741658.14436084,1687,81
-9644219.74462065,3741658.14436084,1688,81
-9643906.93685152,3743513.67370386,1689,50
-9643906.93685152,3743513.67370386,1690,50
-9644348.87522997,3741537.59722116,1691,96
-9644348.87522997,3741537.59722116,1692,96
-9642622.30992777,3733823.76801264,1693,101
-9642622.30992777,3733823.76801264,1694,101
-9642622.30992777,3733823.76801264,1695,101
-9642622.30992777,3733823.76801264,1696,101
-9642622.30992777,3733823.76801264,1697,101
-9643125.47402615,3741234.92437364,1698,79
-9643125.47402615,3741234.92437364,1699,79
-9626071.32803662,3738715.56512422,1700,101
-9626071.32803662,3738715.56512422,1701,101
-9626071.32803662,3738715.56512422,1702,101
-9626071.32803662,3738715.56512422,1703,101
-9626071.32803662,3738715.56512422,1704,101
-9626071.32803662,3738715.56512422,1705,101
-9626071.32803662,3738715.56512422,1706,101
-9640237.84643498,3768391.676244,1707,141
-9640237.84643498,3768391.676244,1708,141
-9640237.84643498,3768391.676244,1709,141
-9640237.84643498,3768391.676244,1710,141
-9640237.84643498,3768391.676244,1711,141
-9640237.84643498,3768391.676244,1712,141
-9640237.84643498,3768391.676244,1713,141
-9640237.84643498,3768391.676244,1714,141
-9640237.84643498,3768391.676244,1715,141
-9665703.29314885,3731521.96733839,1716,66
-9660702.82162241,3734718.15782092,1717,54
-9569216.01130887,3734782.3259542,1718,22
-9569216.01130887,3734782.3259542,1719,22
-9647412.3876166,3777820.28256832,1720,140
-9647412.3876166,3777820.28256832,1721,140
-9647412.3876166,3777820.28256832,1722,140
-9647412.3876166,3777820.28256832,1723,140
-9647412.3876166,3777820.28256832,1724,140
-9647412.3876166,3777820.28256832,1725,140
-9647412.3876166,3777820.28256832,1726,140
-9647412.3876166,3777820.28256832,1727,140
-9647412.3876166,3777820.28256832,1728,140
-9647412.3876166,3777820.28256832,1729,140
-9642514.3300217,3741394.77662186,1730,44
-9657318.7091023,3740722.62525793,1731,99
-9657318.7091023,3740722.62525793,1732,99
-9657318.7091023,3740722.62525793,1733,99
-9657318.7091023,3740722.62525793,1734,99
-9657318.7091023,3740722.62525793,1735,99
-9657318.7091023,3740722.62525793,1736,99
-9657318.7091023,3740722.62525793,1737,99
-9657318.7091023,3740722.62525793,1738,99
-9657318.7091023,3740722.62525793,1739,99
-9657318.7091023,3740722.62525793,1740,99
-9657318.7091023,3740722.62525793,1741,99
-9642921.759358,3741090.79710885,1742,110
-9642921.759358,3741090.79710885,1743,110
-9642921.759358,3741090.79710885,1744,110
-9642921.759358,3741090.79710885,1745,110
-9642921.759358,3741090.79710885,1746,110
-9642921.759358,3741090.79710885,1747,110
-9642921.759358,3741090.79710885,1748,110
-9642921.759358,3741090.79710885,1749,110
-9642921.759358,3741090.79710885,1750,110
-9642921.759358,3741090.79710885,1751,110
-9642921.759358,3741090.79710885,1752,110
-9642921.759358,3741090.79710885,1753,110
-9642948.47603579,3741274.23210761,1754,82
-9642948.47603579,3741274.23210761,1755,82
-9642948.47603579,3741274.23210761,1756,82
-9642948.47603579,3741274.23210761,1757,82
-9642948.47603579,3741274.23210761,1758,82
-9642948.47603579,3741274.23210761,1759,82
-9642948.47603579,3741274.23210761,1760,82
-9642948.47603579,3741274.23210761,1761,82
-9642948.47603579,3741274.23210761,1762,82
-9642948.47603579,3741274.23210761,1763,82
-9642948.47603579,3741274.23210761,1764,82
-9642948.47603579,3741274.23210761,1765,82
-9642948.47603579,3741274.23210761,1766,82
-9642948.47603579,3741274.23210761,1767,82
-9642948.47603579,3741274.23210761,1768,82
-9642948.47603579,3741274.23210761,1769,82
-9646502.90737682,3738019.98424922,1770,109
-9619610.34479098,3825088.25947835,1771,108
-9619610.34479098,3825088.25947835,1772,108
-9619610.34479098,3825088.25947835,1773,108
-9619610.34479098,3825088.25947835,1774,108
-9619610.34479098,3825088.25947835,1775,108
-9619610.34479098,3825088.25947835,1776,108
-9619610.34479098,3825088.25947835,1777,108
-9619610.34479098,3825088.25947835,1778,108
-9619610.34479098,3825088.25947835,1779,108
-9619610.34479098,3825088.25947835,1780,108
-9619610.34479098,3825088.25947835,1781,108
-9619610.34479098,3825088.25947835,1782,108
-9619610.34479098,3825088.25947835,1783,108
-9619610.34479098,3825088.25947835,1784,108
-9619610.34479098,3825088.25947835,1785,108
-9619610.34479098,3825088.25947835,1786,108
-9619610.34479098,3825088.25947835,1787,108
-9619610.34479098,3825088.25947835,1788,108
-9619610.34479098,3825088.25947835,1789,108
-9619610.34479098,3825088.25947835,1790,108
-9562965.42190083,3735629.63911326,1791,121
-9712883.83293176,3563134.35382435,1792,103
-9712883.83293176,3563134.35382435,1793,103
-9712883.83293176,3563134.35382435,1794,103
-9712883.83293176,3563134.35382435,1795,103
-9712883.83293176,3563134.35382435,1796,103
-9712883.83293176,3563134.35382435,1797,103
-9712883.83293176,3563134.35382435,1798,103
-9712883.83293176,3563134.35382435,1799,103
-9712883.83293176,3563134.35382435,1800,103
-9609472.47876444,3750123.03564534,1801,89
-9609472.47876444,3750123.03564534,1802,89
-9609472.47876444,3750123.03564534,1803,89
-9636704.5657972,3745681.43949989,1804,130
-9621044.1398324,3742769.33111541,1805,81
-9666852.11029383,3714792.70433998,1806,158
-9666852.11029383,3714792.70433998,1807,158
-9688641.78742171,3717593.48183522,1808,72
-9656742.07413999,3715551.02110894,1809,205
-9656742.07413999,3715551.02110894,1810,205
-9656742.07413999,3715551.02110894,1811,205
-9656742.07413999,3715551.02110894,1812,205
-9656742.07413999,3715551.02110894,1813,205
-9656742.07413999,3715551.02110894,1814,205
-9656742.07413999,3715551.02110894,1815,205
-9656742.07413999,3715551.02110894,1816,205
-9656742.07413999,3715551.02110894,1817,205
-9656742.07413999,3715551.02110894,1818,205
-9644239.782129,3741769.52050364,1819,81
-9644239.782129,3741769.52050364,1820,81
-9644239.782129,3741769.52050364,1821,81
-9644239.782129,3741769.52050364,1822,81
-9656571.75531907,3715790.2929381,1823,160
-9655389.54232685,3715630.7778622,1824,204
-9640325.7888327,3719038.57972375,1825,206
-9650334.52424993,3714145.55759467,1826,58
-9646767.84776491,3732583.77895445,1827,66
-9646767.84776491,3732583.77895445,1828,66
-9644368.91273832,3743233.2293896,1829,132
-9644368.91273832,3743233.2293896,1830,132
-9644368.91273832,3743233.2293896,1831,132
-9644368.91273832,3743233.2293896,1832,132
-9644368.91273832,3743233.2293896,1833,132
-9644368.91273832,3743233.2293896,1834,132
-9644368.91273832,3743233.2293896,1835,132
-9644368.91273832,3743233.2293896,1836,132
-9699967.43241502,3695185.69922086,1837,73
-9699967.43241502,3695185.69922086,1838,73
-9628857.65489118,3670735.76094994,1839,115
-9628857.65489118,3670735.76094994,1840,115
-9655076.73455772,3716261.00536071,1841,156
-9644776.34207462,3736948.52734418,1842,160
-9644776.34207462,3736948.52734418,1843,160
-9644776.34207462,3736948.52734418,1844,160
-9627450.57652755,3733726.86883639,1845,100
-9627450.57652755,3733726.86883639,1846,100
-9652977.24896136,3704399.37549916,1847,56
-9652977.24896136,3704399.37549916,1848,56
-9652977.24896136,3704399.37549916,1849,56
-9652624.36617554,3703243.36683149,1850,58
-9652624.36617554,3703243.36683149,1851,58
-9652624.36617554,3703243.36683149,1852,58
-9606476.87126719,3778318.39032939,1853,90
-9606476.87126719,3778318.39032939,1854,90
-9606476.87126719,3778318.39032939,1855,90
-9606476.87126719,3778318.39032939,1856,90
-9606476.87126719,3778318.39032939,1857,90
-9606476.87126719,3778318.39032939,1858,90
-9606476.87126719,3778318.39032939,1859,90
-9606476.87126719,3778318.39032939,1860,90
-9606476.87126719,3778318.39032939,1861,90
-9606476.87126719,3778318.39032939,1862,90
-9606476.87126719,3778318.39032939,1863,90
-9606476.87126719,3778318.39032939,1864,90
-9606476.87126719,3778318.39032939,1865,90
-9606476.87126719,3778318.39032939,1866,90
-9606476.87126719,3778318.39032939,1867,90
-9652801.36416591,3703027.85191422,1868,58
-9656788.82832612,3716500.29116205,1869,159
-9656788.82832612,3716500.29116205,1870,159
-9652957.21145302,3703896.46560222,1871,58
-9652957.21145302,3703896.46560222,1872,58
-9558705.22498817,3999417.37569746,1873,81
-9572287.31605986,3970850.59138003,1874,118
-9550823.80504,3982680.15994007,1875,190
-9558602.81105664,3974390.16866688,1876,134
-9510458.24448345,3975507.45228168,1877,94
-9767354.68616672,3548931.06200218,1878,130
