X,Y,OBJECTID,PaccNumber,custCOMPANY_NAME,custDBA,pvNUMBER,custID,pvYEAR,pvEFFDATE,pvEXPIRE,contCREATED,contCALCDATE,contPOSTDATE,paccCOMPANY,addrNUMBER_MAIL,addrSTREET1_MAIL,addrSTREET2_MAIL,addrCITY_MAIL,stABBR_MAIL,addrZIP_MAIL,Full_Address,addrNUMBER_PHYSICAL,addrSTREET1_PHYSICAL,addrSTREET2_PHYSICAL,addrZIP_PHYSICAL,scID,scCODE,scNAME,pvscDESC,nbiCODE,pvrtCODE,pvrtDESC,CITY,addrCITY_PHYSICAL,stABBR_PHYSICAL,Id,postYear,GlobalID,created_user,created_date,last_edited_user,last_edited_date
,,37,9346469-BUS,A P G LAND PARTNERS LLP,A P G LAND PARTNERS LLP,202100001060,28128,2021,2021/01/01,2021/12/31,2021/01/19,2021/01/16,2021/01/16,A P G LAND PARTNERS LLP,,P O BOX 230725,,MONTGOMERY,AL,361230725,4228 LOMAC ST,4228,LOMAC ST,,36106,661,531100,RENTAL AND LEASINGREAL PROPERTY RENTAL,RENTAL AND LEASING,,,Renew,YES,MONTGOMERY,AL,,2021,{559A7B3F-4549-4163-AAC3-6AD4B42770A0},,,,
,,38,9346469-BUS,A P G LAND PARTNERS LLP,A P G LAND PARTNERS LLP,202200004668,28128,2022,2022/01/01,2022/12/31,2022/02/07,2022/01/20,2022/02/01,A P G LAND PARTNERS LLP,,P O BOX 230725,,MONTGOMERY,AL,361230725,4228 LOMAC ST,4228,LOMAC ST,,36106,661,531100,RENTAL AND LEASINGREAL PROPERTY RENTAL,RENTAL AND LEASING,,,Renew,YES,MONTGOMERY,AL,,2022,{7B127CD2-2362-48D8-BC37-AB881579FE9A},,,,
,,39,7340796-BUS,A P JANITORIAL,A P JANITORIAL,202200004372,14452,2022,2022/01/01,2022/12/31,2022/02/05,2022/01/14,2022/02/01,A P JANITORIAL,2912,TYLER RD,,MONTGOMERY,AL,36110,2912 TYLER RD,2912,TYLER RD,,36110,691,561720,JANITORIAL FIRMJANITORIAL CLEANING SERVICESINDIVIDUAL OR FIRM,JANITORIAL SERVICE,,,Renew,YES,MONTGOMERY,AL,,2022,{D51CF250-B736-48FA-AD5C-F49F31ACFED5},,,,
485093.34155333,648011.477995738,40,039424-BUS,A P TRUCKING SERVICES LLC,A P TRUCKING SERVICES LLC,202200008809,42718,2022,2022/01/01,2022/12/31,2022/02/28,2022/03/01,2022/03/01,A P TRUCKING SERVICES LLC,3510,ZACK GORDON PL,,HOPE HULL ,AL,36043,3510 ZACK GORDON PL,3510,ZACK GORDON PL,,36043,620,484122,"TRUCK TRANSPORTATIONLOCAL, LONG DISTANCE, FREIGHT-MOVING AND STORAGE",,,,New,YES,HOPE HULL ,AL,,2022,{0CCB489E-7DC4-41D4-BEA9-0319C1534192},,,,
,,41,9366438-BUS,ACE PACKAGING,ACE PACKAGING,202100000863,26294,2021,2021/01/01,2021/12/31,2021/01/15,2021/01/14,2021/01/14,ACE PACKAGING,261,WELCH AVE,,SPRINGS,AL,36089,261 WELCH AVE,261,WELCH AVE,,36089,580,422990,ALL OTHER WHOLESALE TRADENON-DURABLE,,,,Renew,NO,SPRINGS,AL,,2021,{ED16B0F9-5F9A-4E7E-A5A1-994EFE30405A},,,,
479254.941812828,660389.20914574,42,9361473-BUS,ACE PRECISION AMERICA INC,ACE PRECISION AMERICA INC,202100012819,10298,2021,2021/01/01,2021/12/31,2021/05/24,2021/05/21,2021/05/21,ACE PRECISION AMERICA INC,4269,ALATEX RD,,MONTGOMERY,AL,361084868,4269 ALATEX RD,4269,ALATEX RD,,361084868,746,811118,"REPAIRS AND MAINTENANCEAUTO, PAINT/BODY, OTHER VEHICULAR",REPAIRS AND MAINTENANCEAUTO PAINT/BODY OTHER VEHICULAR,,,Renew,YES,MONTGOMERY,AL,4,2021,{5EFBF90D-664D-4F25-B3FB-36277EA11DC0},,,,
,,43,037947-BUS,ACHIEVING VISIONARY SOLUTIONS INCORPORATED,ACHIEVING VISIONARY SOLUTIONS INCORPORATED,202200012965,41241,2022,2022/01/01,2022/12/31,2022/05/24,2022/04/20,2022/05/31,ACHIEVING VISIONARY SOLUTIONS INCORPORATED,414,W 2ND ST,APT B,ELMIRA,NY,149012619,414 W 2ND ST,414,W 2ND ST,APT B,149012619,697,562111,"SOLID WASTE COLLECTIONSCRAP DEALER, SCRAP YARD, JUNK COLLECTORS",RECYCLING,,,New,NO,ELMIRA,NY,,2022,{E9F18382-EAF8-4EAC-9D8C-90F9C73A2829},,,,
,,44,044435-BUS,ACI BUILDING SYSTEMS LLC,ACI BUILDING SYSTEMS LLC,202300015675,47730,2020,2020/01/01,2020/12/31,2023/12/21,2023/12/11,2023/12/01,ACI BUILDING SYSTEMS LLC,,PO BOX 1316,,BATESVILLE,MS,386061316,PO BOX 1316,PO BOX 1316,PO BOX 1316,,386061316,589,444130,"BUILDING MATERIALSHARDWARE, PAINT, HOME CENTER, WALLPAPER, NURSERY",,,,New,NO,BATESVILLE,MS,,2023,{2D58E4EE-029B-44BA-BB99-67CD2CAF8BA5},,,HNAM,2025/04/04 19:19:32+00
,,45,044435-BUS,ACI BUILDING SYSTEMS LLC,ACI BUILDING SYSTEMS LLC,202300015676,47730,2022,2022/01/01,2022/12/31,2023/12/21,2023/12/11,2023/12/01,ACI BUILDING SYSTEMS LLC,,PO BOX 1316,,BATESVILLE,MS,386061316,PO BOX 1316,PO BOX 1316,PO BOX 1316,,386061316,627,492200,SPECIAL DELIVERY LICENSE,,,,New,NO,BATESVILLE,MS,,2023,{C4E79DBC-3C7A-4EDE-93EA-86E8AA988822},,,HNAM,2025/04/04 19:19:32+00
,,47,035057-BUS,ACIMA CREDIT LLC,ACIMA CREDIT,202100014950,13354,2021,2021/01/01,2021/12/31,2021/10/14,2021/10/13,2021/10/22,ACIMA CREDIT LLC,13907,S MINUTEMAN DR,,DRAPER,UT,840209869,13907 S MINUTEMAN DR,13907,S MINUTEMAN DR,,840209869,665,532200,RENTAL AND LEASINGTANGIBLE PERSONAL PROPERTY,RENTAL AND LEASINGTANGIBLE PERSONAL PROPERTY,,,New,NO,DRAPER,UT,,2021,{517C0DE0-97AE-4C63-A458-70FE3B7417A6},,,,
