X,Y,OBJECTID,Request_ID,Create_Date,Department,Request_Type,Address,District,Status,Close_Date,Origin,Latitude,Longitude,Year,GlobalID,created_user,created_date,last_edited_user,last_edited_date
,,61,317706,2021/01/04 16:13:00+00,FAQ,Ask 3-1-1,,,Closed,2021/01/04 16:13:00+00,Call Center,0,0,2021,{E85AA5AE-C288-4BEB-A617-4AB31788E86E},,,,
503440.985960327,676118.017254986,62,317707,2021/01/04 16:16:00+00,FAQ,FAQ-Parks & Rec ,DOROTHY ST,4,Closed,2021/01/04 16:16:00+00,Call Center,32.3577528,-86.3279181,2021,{C1F752DA-FE02-46D2-BA65-FD9C5C2348AE},,,,
,,63,317708,2021/01/04 16:18:00+00,FAQ,Ask 3-1-1,,,Closed,2021/01/04 16:18:00+00,Call Center,0,0,2021,{389AFE93-5BCB-4849-B7FC-8BE78A002278},,,,
525739.411507744,679880.583220653,64,317709,2021/01/04 16:21:00+00,Street Maintenance,Clean Inlets,942 GREEN RIDGE RD,1,Closed,2021/01/08 14:18:00+00,Call Center,32.3683572,-86.2557571,2021,{F5ECF191-E50D-4017-9E97-20A3DA35F35E},,,,
525739.411507744,679880.583220653,65,317710,2021/01/04 16:23:00+00,Street Maintenance,Curb/Gutter Clean up (dirt/debris),942 GREEN RIDGE RD,1,Closed,2021/01/08 14:31:00+00,Call Center,32.3683572,-86.2557571,2021,{FE296061-0F03-4496-B623-6644F78AC292},,,,
559276.726322744,657118.908599742,66,317711,2021/01/04 16:26:00+00,Sanitation Department,Request A New Container,1338 Bristol Park Pl,8,Closed,2021/04/05 13:16:00+00,Call Center,32.3061098,-86.1469233,2021,{0B7D3F08-9716-4978-93BE-3A4E5482DCAB},,,,
509480.896124579,684219.103086904,67,317712,2021/01/04 16:30:00+00,Building Maintenance,Fire Electrical,19 MADISON AVE,3,Closed,2021/01/04 16:31:00+00,Call Center,32.3800947,-86.3084756,2021,{23BB88C9-021E-48D5-B6C7-D0228CA5B004},,,,
509480.896124579,684219.103086904,68,317713,2021/01/04 16:30:00+00,Building Maintenance,Fire Electrical,19 MADISON AVE,3,Closed,2021/01/04 17:43:00+00,Call Center,32.3800947,-86.3084756,2021,{D4AA71A0-A4F4-4EAE-AD4A-B880FFFE6276},,,,
527686.929922413,676943.206549488,69,317714,2021/01/04 16:33:00+00,Street Maintenance,Clean Inlets,GLENWOOD RD,1,Closed,2021/01/08 14:21:00+00,Call Center,32.3603044,-86.2494127,2021,{E4D7F3AD-30BA-457A-A6AD-18414B4F7CE4},,,,
,,70,317715,2021/01/04 16:34:00+00,FAQ,Ask 3-1-1,,,Closed,2021/01/04 16:34:00+00,Call Center,0,0,2021,{4D8F922C-6552-4AF5-A37C-B151404AFB44},,,,
534855.047147829,686313.36038132,71,317716,2021/01/04 16:35:00+00,Street Maintenance,Repair/Replace Fence or Gate,300 BOWLING GREEN DR,1,Closed,2021/01/26 14:29:00+00,Call Center,32.386134,-86.2263108,2021,{E3798F2C-16C6-42FE-908C-91299BB6F264},,,,
506115.507842246,674577.94257924,72,317717,2021/01/04 16:36:00+00,Sanitation Department,Request A New Container,725 ALEXANDER ST,7,Closed,2021/01/08 13:19:00+00,Call Center,32.3535534,-86.3192346,2021,{D6BF21F2-5874-43B7-82BB-36EB6E9E7B07},,,,
541816.517804913,663081.549561575,73,317718,2021/01/04 16:37:00+00,Sanitation Department,Leaves and Debris Pick up,4436 BELL CHASE,8,Closed,2021/01/08 16:29:00+00,Call Center,32.3223461,-86.2035,2021,{EE312F8C-A697-41D3-BE8C-441A09BB4433},,,,
,,74,317719,2021/01/04 16:40:00+00,Sanitation Department,Inquiries,,,Closed,2021/01/04 16:40:00+00,Call Center,0,0,2021,{D99AD7DF-C986-4683-9558-FD5F53191CF1},,,,
,,75,317720,2021/01/04 16:40:00+00,FAQ,Ask 3-1-1,,,Closed,2021/01/04 16:40:00+00,Call Center,0,0,2021,{AFD9C1E6-ECE2-499A-82EE-AB565744DD5B},,,,
533386.511042912,662072.873429321,76,317721,2021/01/04 16:40:00+00,Code Enforcement,Nuisance,4900 PLAZA DR,6,Closed,2021/01/05 19:21:00+00,Call Center,32.3194906,-86.2307764,2021,{13CA93EC-F933-40EC-B3B7-EF047E220306},,,,
520431.850600578,677344.17064257,77,317722,2021/01/04 16:43:00+00,Sanitation Department,Leaves and Debris Pick up,2125 EAST FIFTH ST (OP),7,Closed,2021/01/08 21:35:00+00,Call Center,32.3613268,-86.2729129,2021,{E5B382ED-A6CF-408B-A865-A2C7C76D4F25},,,,
520871.813959494,690571.084805489,78,317723,2021/01/04 16:44:00+00,Sanitation Department,Exchange Damage Container,2713 SWEETBRIAR RD,2,Closed,2021/01/11 20:31:00+00,Call Center,32.3976875,-86.2716636,2021,{77866D7E-A22B-4EA5-B7CE-DEE4D8C7E3B5},,,,
532447.171386164,687934.516915902,79,317724,2021/01/04 16:44:00+00,Sanitation Department,General Sanitation Inquiry,4072 FAUNSDALE DR,2,Closed,2021/04/05 13:18:00+00,Call Center,32.3905654,-86.2341304,2021,{CC83D72C-3B5E-4848-9C83-D08B590544A6},,,,
524241.863977913,691356.681987576,80,317725,2021/01/04 16:44:00+00,Street Maintenance,Clean Inlets,836 WESTOVER RD,2,Closed,2021/01/08 14:19:00+00,Website,32.3998843,-86.2607557,2021,{687933FD-5307-4656-BF5E-B2EB49993EBB},,,,
526027.647807911,672555.153973907,81,317726,2021/01/04 16:47:00+00,Traffic Engineering,Repair Existing Signs,HILLWOOD DR,5,Closed,2021/01/04 17:32:00+00,Call Center,32.3482254,-86.2547302,2021,{4923CF18-6C05-47F5-9480-5EF001185A72},,,,
535703.095320497,656696.920598574,82,317727,2021/01/04 16:48:00+00,Sanitation Department,Leaves and Debris Pick up,6124 PROVOST AVE,6,Closed,2021/01/08 21:38:00+00,Call Center,32.3047373,-86.2232144,2021,{6AAD98B8-6612-4255-8E3D-92043EB0569D},,,,
526626.460586663,687404.819812573,83,317728,2021/01/04 16:48:00+00,Code Enforcement,Parking On Front Lawn,3562 PELZER AVE,2,Closed,2021/01/05 19:09:00+00,Call Center,32.3890481,-86.2529798,2021,{1287F267-9345-42C8-BD29-822CACE04235},,,,
526663.883740161,687580.251876406,84,317729,2021/01/04 16:49:00+00,Code Enforcement,Parking On Front Lawn,3563 PELZER AVE,2,Closed,2021/01/05 19:09:00+00,Call Center,32.3895307,-86.2528608,2021,{9DD4C906-96B9-4701-8D69-BCBD519ECADF},,,,
526590.331721913,687567.042913325,85,317730,2021/01/04 16:50:00+00,Code Enforcement,Parking On Front Lawn,3557 PELZER AVE,2,Closed,2021/01/05 19:09:00+00,Call Center,32.3894936,-86.2530989,2021,{E396D22D-BD96-4F25-8545-D8B990B944F7},,,,
536127.712909579,689174.390748486,86,317731,2021/01/04 16:56:00+00,Sanitation Department,Exchange Damage Container,396 GLADE PARK DR,2,Closed,2021/01/08 16:03:00+00,Call Center,32.3940107,-86.2222219,2021,{9E4AB9EB-0EEF-4854-BD0B-06D2846312E5},,,,
,,87,317732,2021/01/04 17:07:00+00,Sanitation Department,Inquiries,,,Closed,2021/01/04 17:07:00+00,Call Center,0,0,2021,{ED488229-D9E1-40B3-8745-C8FFC619C071},,,,
536650.855235994,662686.46865882,88,317733,2021/01/04 17:08:00+00,Building Maintenance,COM HVAC/Refrigeration,4450 Brewbaker Dr,6,Closed,2021/01/04 18:49:00+00,Call Center,32.32121,-86.220217,2021,{A95826F1-5940-4BAE-BAF6-6ADC3BE2E9CF},,,,
